date,close,system_a,a_confidence,a_reasons,a_stop,a_target1,system_b,b_confidence,b_reasons,b_wave,b_trend,agreement,approved,rejection_reason,final,confidence,entry,stop,target1,target2,target3
2023-02-07T00:00:00.000Z,415.19,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,415.19,415.19,415.19,415.19,415.19
2023-02-08T00:00:00.000Z,410.65,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,410.65,410.65,410.65,410.65,410.65
2023-02-09T00:00:00.000Z,407.09,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,407.09,407.09,407.09,407.09,407.09
2023-02-10T00:00:00.000Z,408.04,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,408.04,408.04,408.04,408.04,408.04
2023-02-13T00:00:00.000Z,412.83,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,412.83,412.83,412.83,412.83,412.83
2023-02-14T00:00:00.000Z,412.64,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,412.64,412.64,412.64,412.64,412.64
2023-02-15T00:00:00.000Z,413.98,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,413.98,413.98,413.98,413.98,413.98
2023-02-16T00:00:00.000Z,408.28,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,408.28,408.28,408.28,408.28,408.28
2023-02-17T00:00:00.000Z,407.26,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,407.26,407.26,407.26,407.26,407.26
2023-02-21T00:00:00.000Z,399.09,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,399.09,399.09,399.09,399.09,399.09
2023-02-22T00:00:00.000Z,398.54,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,398.54,398.54,398.54,398.54,398.54
2023-02-23T00:00:00.000Z,400.66,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,400.66,400.66,400.66,400.66,400.66
2023-02-24T00:00:00.000Z,396.38,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,396.38,396.38,396.38,396.38,396.38
2023-02-27T00:00:00.000Z,397.73,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,397.73,397.73,397.73,397.73,397.73
2023-02-28T00:00:00.000Z,396.26,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,396.26,396.26,396.26,396.26,396.26
2023-03-01T00:00:00.000Z,394.74,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,394.74,394.74,394.74,394.74,394.74
2023-03-02T00:00:00.000Z,397.81,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,397.81,397.81,397.81,397.81,397.81
2023-03-03T00:00:00.000Z,404.19,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,404.19,404.19,404.19,404.19,404.19
2023-03-06T00:00:00.000Z,404.47,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,404.47,404.47,404.47,404.47,404.47
2023-03-07T00:00:00.000Z,398.27,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,398.27,398.27,398.27,398.27,398.27
2023-03-08T00:00:00.000Z,398.92,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,398.92,398.92,398.92,398.92,398.92
2023-03-09T00:00:00.000Z,391.56,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,391.56,391.56,391.56,391.56,391.56
2023-03-10T00:00:00.000Z,385.91,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,385.91,385.91,385.91,385.91,385.91
2023-03-13T00:00:00.000Z,385.36,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,385.36,385.36,385.36,385.36,385.36
2023-03-14T00:00:00.000Z,391.73,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,391.73,391.73,391.73,391.73,391.73
2023-03-15T00:00:00.000Z,389.28,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,389.28,389.28,389.28,389.28,389.28
2023-03-16T00:00:00.000Z,396.11,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,396.11,396.11,396.11,396.11,396.11
2023-03-17T00:00:00.000Z,389.99,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,389.99,389.99,389.99,389.99,389.99
2023-03-20T00:00:00.000Z,393.74,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,393.74,393.74,393.74,393.74,393.74
2023-03-21T00:00:00.000Z,398.91,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,398.91,398.91,398.91,398.91,398.91
2023-03-22T00:00:00.000Z,392.11,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,392.11,392.11,392.11,392.11,392.11
2023-03-23T00:00:00.000Z,393.17,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,393.17,393.17,393.17,393.17,393.17
2023-03-24T00:00:00.000Z,395.75,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,395.75,395.75,395.75,395.75,395.75
2023-03-27T00:00:00.000Z,396.49,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,396.49,396.49,396.49,396.49,396.49
2023-03-28T00:00:00.000Z,395.6,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,395.6,395.6,395.6,395.6,395.6
2023-03-29T00:00:00.000Z,401.35,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,401.35,401.35,401.35,401.35,401.35
2023-03-30T00:00:00.000Z,403.7,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,403.7,403.7,403.7,403.7,403.7
2023-03-31T00:00:00.000Z,409.39,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,409.39,409.39,409.39,409.39,409.39
2023-04-03T00:00:00.000Z,410.95,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,410.95,410.95,410.95,410.95,410.95
2023-04-04T00:00:00.000Z,408.67,HOLD,0.0,Insufficient data,0.0,0.0,HOLD,0.0,Insufficient data,0,,BOTH_HOLD,False,Both systems hold,HOLD,0,408.67,408.67,408.67,408.67,408.67
